Date,DAL
2020-09-28,31.274311065673828
2020-09-29,30.545841217041016
2020-09-30,30.51590347290039
2020-10-01,31.034814834594727
2020-10-02,31.683452606201172
2020-10-05,31.93292808532715
2020-10-06,30.994897842407227
2020-10-07,32.08261489868164
2020-10-08,32.61150360107422
2020-10-09,32.74123001098633
2020-10-12,32.57158660888672
2020-10-13,31.703411102294922
2020-10-14,31.693431854248047
2020-10-15,31.274311065673828
2020-10-16,31.404037475585938
2020-10-19,31.433975219726562
2020-10-20,31.9129695892334
2020-10-21,31.433975219726562
2020-10-22,33.649322509765625
2020-10-23,33.92873764038086
2020-10-26,31.863075256347656
2020-10-27,30.645631790161133
2020-10-28,29.587852478027344
2020-10-29,30.695528030395508
2020-10-30,30.57577896118164
2020-11-02,30.156658172607422
